id,x,y,Species,line_num,gmm
513879001,55.72858,-12.9535,0,0,
478447600,26.69202,-14.4332,0,0,
485468180,31.40398,23.69367,0,0,
515435668,56.79834,-5.7193,0,0,
502193385,16.58533,11.15542,0,0,
314857059,34.69546,-27.4508,0,0,
479150681,34.84217,21.70185,0,0,
479721491,31.3901,10.74917,0,0,
560599530,41.57974,-2.78999,0,0,
604130772,33.32792,18.44041,0,0,
584635140,25.99856,6.586426,0,0,
503595332,56.54066,11.9912,0,0,
559387643,28.11592,-25.6932,0,0,
466827702,47.80573,10.29831,0,0,
501951290,47.65408,9.213847,0,0,
479993900,8.609944,-11.5953,0,0,
571292875,-3.80561,-23.7173,0,3,
475848827,-26.1788,21.25294,0,0,
490966322,33.98989,23.42329,0,0,
504643398,37.58394,-7.85848,0,0,
484515166,21.72699,19.27235,0,0,
580632959,32.41128,-10.7272,0,0,
585058163,44.22169,-9.42778,0,0,
584636981,24.00095,-15.4169,0,0,
480114344,54.92555,-10.9483,0,0,
486508983,20.45568,-19.7098,0,0,
488680211,2.499797,-12.1365,0,0,
569317896,39.03642,-13.0942,0,0,
476269122,29.50165,2.033462,0,0,
513510227,58.71608,-5.51849,0,0,
568560561,32.72805,-24.7558,0,0,
563028422,38.31197,-18.4113,0,0,
479492633,43.88421,-13.3947,0,0,
513803975,32.23927,-1.96829,0,0,
589760138,13.36424,0.283646,0,0,
486196663,34.17413,1.527123,0,0,
573699058,-4.16306,-20.9569,0,0,
501886192,54.17947,-7.11453,0,0,
501848265,32.71783,-9.61825,0,0,
558476932,57.63692,5.753469,0,0,
325479788,43.49396,-1.29836,0,0,
486262299,28.20315,-11.1991,0,0,
485905411,0.139784,-14.001,0,0,
580010290,50.75271,-2.18315,0,0,
502143149,45.29816,13.4445,0,0,
488697163,47.28589,-6.52754,0,0,
557673526,8.898239,46.05714,0,0,
486246801,15.14955,-8.21222,0,0,
490718897,1.564199,-18.1384,0,0,
572609348,-3.14007,35.15856,0,0,
490263438,5.146861,-11.0606,0,0,
478586425,26.76762,-12.9939,0,0,
604626428,22.23631,-28.1783,0,0,
485577686,27.15927,10.81215,0,0,
329557305,33.31254,0.263246,0,0,
480008325,39.09165,22.26086,0,0,
560924300,15.27569,-6.10119,0,0,
589441038,1.070186,34.4046,0,0,
329554392,22.82866,-24.789,0,0,
588711875,51.75251,1.932082,0,0,
505808144,17.64076,-15.1625,0,0,
485955037,22.34239,20.72906,0,0,
325158873,28.36108,-20.8858,0,0,
486176465,51.4563,-17.6072,0,0,
485574721,34.73133,18.06842,0,0,
501850666,14.16608,26.46875,0,0,
487353993,23.64104,27.85607,0,0,
569653118,7.261692,34.68158,0,0,
486191673,14.72812,-25.0216,0,0,
528486009,58.96682,-3.92709,0,0,
562382445,-18.2929,15.34696,0,0,
500963059,41.91306,4.865293,0,0,
318733871,36.17003,-15.2533,0,0,
503286448,6.144429,-4.04767,0,0,
502260112,34.01434,-6.44866,0,0,
513800575,21.50926,-17.5392,0,0,
573082177,2.19847,-16.4441,0,0,
485570372,27.57842,-2.35581,0,0,
510451636,34.98986,-2.15342,0,0,
476178907,26.67249,20.40429,0,0,
490376252,7.788292,37.48771,0,0,
518271679,34.83252,17.28364,0,0,
530204927,15.10392,27.93405,0,0,
569470171,13.9441,-6.00665,0,0,
578938153,49.57824,-17.1073,0,0,
490982660,5.204552,-22.1949,0,0,
325471170,-6.07764,-59.7736,0,0,
482910438,56.60894,16.63732,0,0,
558615201,20.65304,0.27928,0,0,
489754156,20.36672,12.09018,0,0,
489888847,21.24508,25.25824,0,0,
515986607,1.242974,-18.1024,0,0,
535520969,61.66483,-3.3597,0,0,
505795846,45.81912,-21.9247,0,0,
565871856,50.37706,-16.9633,0,0,
556687527,40.14366,-2.95674,0,0,
476452460,39.65295,9.335649,0,0,
559388218,11.42732,10.52316,0,0,
468120757,8.748834,-17.7262,0,0,
313861828,49.05005,-5.80414,0,0,
488689403,8.422168,45.22224,0,0,
321923492,35.98834,-9.38258,0,0,
370351753,30.76384,-1.29693,0,0,
572609025,4.977305,35.64201,0,0,
501023852,39.22337,-1.0855,0,0,
480121089,45.20976,-6.9771,0,0,
323838579,45.01745,14.59925,0,0,
469734859,26.73745,-4.93881,0,0,
485955982,24.37719,2.906848,0,0,
598628992,53.45524,-10.1183,0,0,
599170940,30.77833,-16.321,0,0,
349621141,38.3676,-4.27071,0,0,
504567071,37.79499,-11.2171,0,0,
569715141,57.72317,1.666562,0,0,
464079491,32.32425,15.40654,0,0,
573086094,6.761634,30.7745,0,0,
557859470,62.84912,-4.30553,0,0,
589427435,59.11556,-9.91446,0,0,
386970660,46.26418,0.904823,0,0,
588699048,5.32251,-35.0436,0,0,
488420599,17.4296,-3.03076,0,0,
329550137,44.36054,-15.9427,0,0,
397353539,24.88525,-10.254,0,0,
515199779,9.571605,-0.65261,0,0,
504635521,14.37812,26.86208,0,0,
513514828,3.975716,-7.58207,0,0,
601294900,37.28452,7.335604,0,0,
479766169,6.671322,-7.35793,0,0,
515249852,6.900791,40.60156,0,0,
605660220,21.18886,2.077236,0,0,
485490864,7.915356,21.24567,0,0,
485887209,27.09714,3.714582,0,0,
560968319,23.68767,-3.42092,0,0,
487446992,32.29424,-13.7006,0,0,
565397408,53.92511,-15.9424,0,0,
477930684,6.41355,34.43923,0,0,
563338541,8.15809,21.21316,0,0,
515462796,61.99302,-3.18254,0,0,
501891177,-7.88429,-0.33843,0,0,
500964358,40.45927,4.230641,0,0,
604134393,38.2897,-0.37346,0,0,
482905575,28.82077,1.164271,0,0,
504613416,2.922192,-18.107,0,0,
503814817,3.97176,-14.6677,0,0,
562185938,35.01028,5.884055,0,0,
489923501,-2.34303,-40.4902,0,0,
599393756,41.51998,-19.7176,0,0,
557203722,7.380906,-37.8979,0,5,
584073525,35.95834,11.65468,0,0,
